# GENERATED by scripts/extract-ulad-enumerations.cjs — do not hand-edit.
# Source: docs/fannie-mae/schemas/ulad-mapping-document.xlsx, sheet "ULAD Enumerations".
# The authority for which values each MISMO v3.4 data point may hold.
# CLAUDE.md: never invent MISMO field names, enumerations, edit codes or SFCs.
#
dataPoint	enumeration	urlaFieldId	definition
AddressType	Mailing	1a.17	The address where an individual or legal entity receives letters or packages.
AddressUnitDesignatorType	Apartment	1a.13.2	
AddressUnitDesignatorType	Basement	1a.13.2	
AddressUnitDesignatorType	Building	1a.13.2	
AddressUnitDesignatorType	Condo	1a.13.2	
AddressUnitDesignatorType	Department	1a.13.2	
AddressUnitDesignatorType	Floor	1a.13.2	
AddressUnitDesignatorType	Front	1a.13.2	
AddressUnitDesignatorType	Hangar	1a.13.2	A covered, usually enclosed area for housing or repairing aircraft.
AddressUnitDesignatorType	Key	1a.13.2	
AddressUnitDesignatorType	Lobby	1a.13.2	
AddressUnitDesignatorType	Lot	1a.13.2	
AddressUnitDesignatorType	Lower	1a.13.2	
AddressUnitDesignatorType	Office	1a.13.2	
AddressUnitDesignatorType	Penthouse	1a.13.2	
AddressUnitDesignatorType	Pier	1a.13.2	
AddressUnitDesignatorType	Rear	1a.13.2	
AddressUnitDesignatorType	Room	1a.13.2	
AddressUnitDesignatorType	Side	1a.13.2	
AddressUnitDesignatorType	Space	1a.13.2	
AddressUnitDesignatorType	Stop	1a.13.2	
AddressUnitDesignatorType	Suite	1a.13.2	
AddressUnitDesignatorType	Trailer	1a.13.2	
AddressUnitDesignatorType	Unit	1a.13.2	
AddressUnitDesignatorType	Upper	1a.13.2	
AdjustmentRuleType	First	L3.7	
AmortizationType	AdjustableRate	L3.5	A mortgage that allows the lender to adjust the interest rate in accordance with a specified index periodically.
AmortizationType	Fixed	L3.5	A mortgage in which the interest rate and payments remain the same for the life of the loan.
AmortizationType	Other	L3.5	Used to describe the amortization type if it is other than those specified in the enumerated list of Loan Amortization Types.
AssetType	Bond	2a.1	An interest-bearing certificate of debt with maturity date. An obligation of issuing entity. Typical valuation is face value (e.g., $1,000 denomination) & market (e.g., value of 4% bond when yields are 6%).
AssetType	BridgeLoanNotDeposited	2a.1	Proceeds of a loan (secured by borrowers real property) to provide homebuyer with funds for down payment and closing costs on a new home before selling the collateral property which have not yet been deposited to borrowers accounts or inclu
AssetType	CertificateOfDepositTimeDeposit	2a.1	Certificates issued by financial institutions with a stated term or interest rate, and with a set maturity date. The bank pays the holder in due course at maturity. Early withdrawal subject to penalty. Considered liquid.
AssetType	CheckingAccount	2a.1	Transaction account with a financial institution. Accounts purpose is to effect transfer of owners funds to others by various methods (e.g., check, EFT, ACH, draft). Technical name is demand deposit account (DDA).
AssetType	GiftOfCash	4d.1	Money given as gift (no repayment expected) to Borrowers to assist in home purchase, usually from relatives or a close friend, and where gift funds have not yet been deposited or included with other assets.
AssetType	GiftOfPropertyEquity	4d.1	Without consideration or promise of repayment, lender allows the seller to transfer equity in the property to the buyer as a credit in the transaction.
AssetType	Grant	4d.1	Money scheduled to be given as grant (no repayment expected) to borrowers to assist in home purchase, usually from local organization or charity, where grant funds have not yet been deposited to borrowers accounts or included with other ass
AssetType	IndividualDevelopmentAccount	2a.1	A matching funds savings account that helps people save for the purchase of real estate.
AssetType	LifeInsurance	2a.1	A life insurance policy with a value or investment component. Details of amounts for each policy or Accumulated investment cash value of life insurance policy, net of any loans against that amount. Detail of amounts for each policy.
AssetType	MoneyMarketFund	2a.1	Mutual fund that allows individuals to participate in managed investments in short-term debt securities, such as certificates of deposit and Treasury bills.
AssetType	MutualFund	2a.1	Financial entity that invests its shareholders funds in stocks and bonds of other entities with the objective of obtaining a return on its shareholders investment.
AssetType	Other	2b.1	
AssetType	PendingNetSaleProceedsFromRealEstateAssets	2b.1	Estimated net cash proceeds (sales price - obligations) from anticipated sale of borrowers real estate assets.
AssetType	ProceedsFromSaleOfNonRealEstateAsset	2b.1	Amount received by borrower from sale of personal property.
AssetType	ProceedsFromSecuredLoan	2b.1	Proceeds from a loan secured by borrowers assets.
AssetType	ProceedsFromUnsecuredLoan	2b.1	Proceeds from a loan not backed by any collateral.
AssetType	RetirementFund	2a.1	401Ks, IRAs, etc. controlled by borrower (vested) valued at market.
AssetType	SavingsAccount	2a.1	Interest-paying account with a financial institution whose main purpose is to earn interest on owners funds held therein. This is NOT a demand deposit account.
AssetType	Stock	2a.1	Financial instrument evidencing an ownership interest in entity that issued the stock. Typical valuation method is Market.
AssetType	StockOptions	2a.1	Option given by a company to an employee to buy stock in the company at a discount or at a stated fixed price.
