level	pdf_page	section
1	3	Table of Contents
1	14	Preface
1	19	Part A, Doing Business with Fannie Mae
2	20	Subpart A1, Approval Qualification
3	20	Chapter A1-1, Application and Approval of Seller/Servicer
4	20	A1-1-01, Application and Approval of Seller/Servicer (09/04/2018)
2	20	Subpart A2, Lender Contract
3	21	Chapter A2-1, Contractual Obligations for Sellers/Servicers
4	21	A2-1-01, Contractual Obligations for Sellers/Servicers (06/04/2025)
4	25	A2-1-02, Nature of Mortgage Transaction (02/27/2018)
4	26	A2-1-03, Indemnification for Losses (10/06/2021)
3	31	Chapter A2-2, Contractual Representations and Warranties
4	32	A2-2-01, Representations and Warranties Overview (02/05/2020)
4	34	A2-2-02, Delivery Information and Delivery-Option Specific Representations and Warranties (08/30/2016)
4	35	A2-2-03, Document Warranties (10/06/2021)
4	38	A2-2-04, Limited Waiver and Enforcement Relief of Representations and Warranties (04/01/2026)
4	44	A2-2-05, Invalidation of Limited Waiver of Representations and Warranties (01/27/2015)
4	45	A2-2-06, Representations and Warranties on Property Value (06/03/2026)
4	48	A2-2-07, Life-of-Loan Representations and Warranties (08/02/2023)
3	56	Chapter A2-3, Lender Breach of Contract
4	56	Section A2-3.1, Lender Breach of Contract
5	56	A2-3.1-01, Lender Breach of Contract (08/05/2020)
5	58	A2-3.1-02, Sanctions, Suspensions, and Terminations (02/23/2016)
4	60	Section A2-3.2, Loan Repurchases and Make Whole Payments Requested by Fannie Mae
5	60	A2-3.2-01, Loan Repurchases and Make Whole Payments Requested by Fannie Mae (08/29/2017)
5	65	A2-3.2-02, Enforcement Relief for Breaches of Certain Representations and Warranties Related to Underwriting and Eligibility (08/06/2025)
5	70	A2-3.2-03, Remedies Framework (08/30/2016)
4	76	Section A2-3.3, Compensatory Fees
5	76	A2-3.3-01, Compensatory Fees (07/30/2013)
3	78	Chapter A2-4, Loan Files and Records
4	78	Section A2-4.1, Establishment, Ownership, and Retention of Loan Files and Records
5	78	A2-4.1-01, Establishing Loan Files (09/04/2024)
5	83	A2-4.1-02, Ownership and Retention of Loan Files and Records (12/19/2017)
5	89	A2-4.1-03, Electronic Records, Signatures, and Transactions (05/06/2026)
5	98	A2-4.1-04, Notarization Standards (06/02/2021)
3	102	Chapter A2-5, Fannie Mae Trade Name and Trademarks
4	102	A2-5-01, Fannie Mae Trade Name and Trademarks (08/29/2017)
2	105	Subpart A3, Getting Started With Fannie Mae
3	105	Chapter A3-1, Fannie Mae’s Technology Products
4	106	A3-1-01, Fannie Mae’s Technology Products (10/06/2021)
3	107	Chapter A3-2, Compliance With Requirements and Laws
4	107	A3-2-01, Compliance With Laws (12/10/2025)
4	119	A3-2-02, Responsible Lending Practices (09/01/2021)
3	122	Chapter A3-3, Third-Party Lending Functions and Servicing Arrangements
4	123	A3-3-01, Outsourcing of Mortgage Processing and Third-Party Originations (02/07/2024)
4	125	A3-3-02, Concurrent Servicing Transfers (05/01/2024)
4	131	A3-3-03, Other Servicing Arrangements (12/15/2015)
4	133	A3-3-04, Document Custodians (05/04/2022)
4	135	A3-3-05, Custody of Mortgage Documents (05/04/2022)
3	137	Chapter A3-4, Lending Practices
4	137	A3-4-01, Confidentiality of Information (02/05/2025)
4	141	A3-4-02, Data Quality and Integrity (08/07/2018)
4	141	A3-4-03, Preventing, Detecting, and Reporting Mortgage Fraud (12/10/2025)
3	145	Chapter A3-5, Fidelity Bond and Errors and Omissions Coverage
4	145	A3-5-01, Fidelity Bond and Errors and Omissions Coverage Provisions (07/25/2017)
4	146	A3-5-02, Fidelity Bond Policy Requirements (07/25/2017)
4	148	A3-5-03, Errors and Omissions Policy Requirements (07/25/2017)
4	150	A3-5-04, Reporting Fidelity Bond and Errors and Omissions Events (12/04/2019)
2	150	Subpart A4, Maintaining Seller/Servicer Eligibility
3	151	Chapter A4-1, Maintaining Seller/Servicer Eligibility: Overview
4	151	A4-1-01, Maintaining Seller/Servicer Eligibility (08/05/2026)
4	158	A4-1-02, Submission of Financial Statements and Reports (05/01/2024)
4	162	A4-1-03, Report of Changes in the Seller/Servicer’s Organization (05/01/2024)
4	164	A4-1-04, Submission of Irrevocable Limited Powers of Attorney (05/04/2022)
1	166	Part B, Origination Through Closing
2	167	Subpart B1, Loan Application Package
3	167	Chapter B1-1, Application Package Documentation
4	167	B1-1-01, Contents of the Application Package (05/01/2024)
4	169	B1-1-02, Blanket Authorization Form (04/01/2009)
4	170	B1-1-03, Allowable Age of Credit Documents and Federal Income Tax Returns (04/02/2025)
2	175	Subpart B2, Eligibility
3	175	Chapter B2-1, Mortgage Eligibility
4	175	Section B2-1.1, Occupancy Types
5	175	B2-1.1-01, Occupancy Types (10/05/2022)
4	178	Section B2-1.2, LTV, CLTV, HCLTV, and Subordinate Financing
5	179	B2-1.2-01, Loan-to-Value (LTV) Ratios (06/01/2022)
5	181	B2-1.2-02, Combined Loan-to-Value (CLTV) Ratios (12/04/2018)
5	182	B2-1.2-03, Home Equity Combined Loan-to-Value (HCLTV) Ratios (02/23/2016)
5	183	B2-1.2-04, Subordinate Financing (08/06/2025)
4	188	Section B2-1.3, Loan Purpose
5	188	B2-1.3-01, Purchase Transactions (11/05/2025)
5	191	B2-1.3-02, Limited Cash-Out Refinance Transactions (10/08/2025)
5	197	B2-1.3-03, Cash-Out Refinance Transactions (12/10/2025)
5	202	B2-1.3-04, Prohibited Refinancing Practices (08/04/2021)
5	205	B2-1.3-05, Payoff of Installment Land Contract Requirements (12/11/2024)
4	206	Section B2-1.4, Loan Amortization Types
5	206	B2-1.4-01, Fixed-Rate Loans (12/14/2022)
5	207	B2-1.4-02, Adjustable-Rate Mortgages (ARMs) (12/10/2025)
5	215	B2-1.4-03, Convertible ARMs (02/23/2016)
5	219	B2-1.4-04, Temporary Interest Rate Buydowns (08/07/2024)
4	223	Section B2-1.5, Other Loan Attributes and Related Policies
5	224	B2-1.5-01, Loan Limits (02/02/2022)
5	225	B2-1.5-02, Loan Eligibility (06/05/2024)
5	236	B2-1.5-03, Legal Requirements (06/03/2020)
5	238	B2-1.5-04, Escrow Accounts (04/01/2020)
5	239	B2-1.5-05, Principal Curtailments (11/06/2024)
3	241	Chapter B2-2, Borrower Eligibility
4	241	B2-2-01, General Borrower Eligibility Requirements (09/03/2025)
4	243	B2-2-02, Non–U.S. Citizen Borrower Eligibility Requirements (07/28/2015)
4	244	B2-2-03, Multiple Financed Properties for the Same Borrower (11/05/2025)
4	247	B2-2-04, Guarantors, Co-Signers, or Non-Occupant Borrowers on the Subject Transaction (09/02/2020)
4	250	B2-2-05, Inter Vivos Revocable Trusts (10/31/2017)
4	253	B2-2-06, Homeownership Education and Housing Counseling (11/05/2025)
4	256	B2-2-07, First-Generation Homebuyer Loans (05/01/2024)
3	257	Chapter B2-3, Property Eligibility
4	258	B2-3-01, General Property Eligibility (09/03/2025)
4	261	B2-3-02, Special Property Eligibility and Underwriting Considerations: Factory-Built Housing (02/04/2026)
4	268	B2-3-03, Special Property Eligibility and Underwriting Considerations: Leasehold Estates (08/05/2026)
4	275	B2-3-04, Special Property Eligibility Considerations (10/08/2025)
4	283	B2-3-05, Properties Affected by a Disaster (09/03/2025)
2	285	Subpart B3, Underwriting Borrowers
3	286	Chapter B3-1, Manual Underwriting
4	286	B3-1-01, Comprehensive Risk Assessment (11/05/2025)
3	287	Chapter B3-2, Desktop Underwriter (DU)
4	288	B3-2-01, General Information on DU (04/01/2026)
4	292	B3-2-02, DU Validation Service (02/05/2025)
4	300	B3-2-03, Risk Factors Evaluated by DU (02/05/2025)
4	306	B3-2-04, DU Documentation Requirements (03/31/2015)
4	307	B3-2-05, Approve/Eligible Recommendations (01/27/2015)
4	308	B3-2-06, Approve/Ineligible Recommendations (02/01/2023)
4	310	B3-2-07, Refer with Caution Recommendations (02/01/2023)
4	312	B3-2-08, Out of Scope Recommendations (04/01/2009)
4	312	B3-2-09, Erroneous Credit Report Data (01/27/2015)
4	314	B3-2-10, Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report (12/04/2019)
4	317	B3-2-11, DU Underwriting Findings Report (09/07/2022)
3	318	Chapter B3-3, Income Assessment
4	319	Section B3-3.1, General Income Requirements
5	319	B3-3.1-01, General Income Information (03/04/2026)
5	321	B3-3.1-02, Tax Return and Transcript Documentation Requirements (06/03/2026)
5	324	B3-3.1-03, Income Calculator (03/04/2026)
5	325	B3-3.1-04, Verbal Verification of Employment (03/04/2026)
4	328	Section B3-3.2, Requirements for Employment-Related Income
5	328	B3-3.2-01, Standards for Employment and Income Documentation (03/04/2026)
5	331	B3-3.2-02, Standards for Employment-Related Income (03/04/2026)
4	333	Section B3-3.3, Sources of Employment-Related Income
5	334	B3-3.3-01, Base Income (03/04/2026)
5	336	B3-3.3-02, Bonus, Commission, Overtime, and Tip Income (03/04/2026)
5	338	B3-3.3-03, Employment Offers or Contracts (03/04/2026)
5	342	B3-3.3-04, Housing (Parsonage) and Automobile Allowances (03/04/2026)
5	343	B3-3.3-05, Military Income (03/04/2026)
5	344	B3-3.3-06, Mortgage Differential Payments Income (03/04/2026)
5	345	B3-3.3-07, Restricted Stock Units and Restricted Stock Employment Income (03/04/2026)
5	347	B3-3.3-08, Seasonal Income (03/04/2026)
5	348	B3-3.3-09, Temporary Leave Income (03/04/2026)
4	352	Section B3-3.4, Other Sources of Income
5	352	B3-3.4-01, General Requirements for Other Sources of Income (03/04/2026)
5	353	B3-3.4-02, Alimony, Child Support, Equalization Payments, or Separate Maintenance (03/04/2026)
5	354	B3-3.4-03, Annuity, Pension, or Retirement Income (03/04/2026)
5	356	B3-3.4-04, Boarder Income (03/04/2026)
5	358	B3-3.4-05, Capital Gains Income (03/04/2026)
5	359	B3-3.4-06, Employment Related Assets as Qualifying Income (03/04/2026)
5	363	B3-3.4-07, Foster-Care Income (03/04/2026)
5	364	B3-3.4-08, Interest and Dividend Income (03/04/2026)
5	365	B3-3.4-09, Long-term Disability Income (03/04/2026)
5	366	B3-3.4-10, Mortgage Credit Certificates (03/04/2026)
5	368	B3-3.4-11, Notes Receivable Income (03/04/2026)
5	369	B3-3.4-12, Public Assistance Income (03/04/2026)
5	370	B3-3.4-13, Royalty Payment Income (03/04/2026)
5	371	B3-3.4-14, Section 8 Housing Choice Voucher Homeownership Program Payments (03/04/2026)
5	372	B3-3.4-15, Social Security Income (03/04/2026)
5	375	B3-3.4-16, Trust Income (03/04/2026)
5	377	B3-3.4-17, Unemployment Benefits Income (03/04/2026)
5	378	B3-3.4-18, VA Benefits Income (03/04/2026)
5	379	B3-3.4-19, Schedule K-1 Income <25% Ownership (03/04/2026)
4	380	Section B3-3.5, Self-Employment Income
5	380	B3-3.5-01, Underwriting Factors and Documentation for a Self-Employed Borrower (12/13/2023)
5	385	B3-3.5-02, Business Structures (12/16/2014)
5	389	B3-3.5-03, IRS Forms Quick Reference (12/16/2020)
4	391	Section B3-3.6, Self-Employment Documentation Requirements for an Individual
5	391	B3-3.6-01, General Information on Analyzing Individual Tax Returns (06/05/2019)
5	392	B3-3.6-02, Income Reported on IRS Form 1040 (05/15/2012)
5	394	B3-3.6-03, Income or Loss Reported on IRS Form 1040, Schedule C (04/01/2009)
5	395	B3-3.6-04, Income or Loss Reported on IRS Form 1040, Schedule D (11/13/2012)
5	396	B3-3.6-05, Income or Loss Reported on IRS Form 1040, Schedule E (09/30/2014)
5	397	B3-3.6-06, Income or Loss Reported on IRS Form 1040, Schedule F (04/01/2009)
5	398	B3-3.6-07, Income or Loss Reported on IRS Form 1065 or IRS Form 1120S, Schedule K-1 (05/07/2025)
4	400	Section B3-3.7, Self-Employment Documentation Requirements for a Business
5	400	B3-3.7-01, Analyzing Partnership Returns for a Partnership or LLC (02/07/2024)
5	402	B3-3.7-02, Analyzing Returns for an S Corporation (02/07/2024)
5	405	B3-3.7-03, Analyzing Returns for a Corporation (06/05/2019)
5	406	B3-3.7-04, Analyzing Profit and Loss Statements (04/01/2009)
4	407	Section B3-3.8, Rental Income
5	407	B3-3.8-01, Rental Income (10/08/2025)
3	418	Chapter B3-4, Asset Assessment
4	418	Section B3-4.1, General Asset Requirements
5	418	B3-4.1-01, Minimum Reserve Requirements (08/07/2024)
5	424	B3-4.1-02, Interested Party Contributions (IPCs) (05/07/2025)
5	429	B3-4.1-03, Lender Incentives (07/02/2025)
5	430	B3-4.1-04, Virtual Currency (05/04/2022)
4	431	Section B3-4.2, Verification of Depository Assets
5	431	B3-4.2-01, Verification of Deposits and Assets (05/04/2022)
5	433	B3-4.2-02, Depository Accounts (12/14/2022)
5	436	B3-4.2-03, Individual Development Accounts (02/06/2019)
5	439	B3-4.2-04, Pooled Savings (Community Savings Funds) (04/01/2009)
5	439	B3-4.2-05, Foreign Assets (05/04/2022)
4	440	Section B3-4.3, Verification of Non-Depository Assets
5	440	B3-4.3-01, Stocks, Stock Options, Bonds, and Mutual Funds (06/30/2015)
5	441	B3-4.3-02, Trust Accounts (04/01/2009)
5	442	B3-4.3-03, Retirement Accounts (06/30/2015)
5	443	B3-4.3-04, Personal Gifts (02/04/2026)
5	446	B3-4.3-05, Gifts of Equity (10/07/2020)
5	447	B3-4.3-06, Grants and Lender Contributions (05/07/2025)
5	450	B3-4.3-07, Disaster Relief Grants or Loans (04/01/2009)
5	451	B3-4.3-08, Employer Assistance (09/29/2015)
5	453	B3-4.3-09, Earnest Money Deposit (05/04/2022)
5	454	B3-4.3-10, Anticipated Sales Proceeds (02/23/2016)
5	455	B3-4.3-11, Trade Equity (12/16/2020)
5	457	B3-4.3-12, Rent-Related Credits (08/07/2024)
5	458	B3-4.3-13, Sweat Equity (04/15/2014)
5	459	B3-4.3-14, Bridge/Swing Loans (04/01/2009)
5	459	B3-4.3-15, Borrowed Funds Secured by an Asset (10/30/2009)
5	460	B3-4.3-16, Credit Card Financing and Reward Points (08/04/2021)
5	462	B3-4.3-17, Personal Unsecured Loans (09/20/2010)
5	462	B3-4.3-18, Sale of Personal Assets (12/16/2020)
5	463	B3-4.3-19, Cash Value of Life Insurance (05/27/2014)
5	464	B3-4.3-20, Anticipated Savings and Cash-on-Hand (04/01/2009)
5	465	B3-4.3-21, Borrower's Earned Real Estate Commission (04/05/2023)
4	466	Section B3-4.4, DU Requirements for Asset Assessment
5	466	B3-4.4-01, DU Asset Verification (12/16/2020)
5	468	B3-4.4-02, Requirements for Certain Assets in DU (06/01/2022)
